AD_Type,price,surface,adress,image_link
Terrain,10 000 000,304,"Saly, Sénégal",https://images.coinafrique.com/thumb_5604147_uploaded_image2_1762219609.jpeg
Terrain,3 000 000,150,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5603465_uploaded_image2_1762187766.jpeg
Terrain,30 000 000,150,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5603017_uploaded_image2_1762172186.jpeg
Terrain,60 000 000,285 m2,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5602837_uploaded_image1_1762166095.jpg
Terrains,20 000 000,150,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5558915_uploaded_image1_1759611155.jpg
Terrain,82 500 000,1500 m2,"Thies, Sénégal",https://images.coinafrique.com/thumb_5601437_uploaded_image1_1762084314.jpg
Terrain,110 000 000,160 m2,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5601435_uploaded_image1_1762084261.jpg
Terrain,90 000 000,150,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5600047_uploaded_image1_1761999347.jpg
Terrain,56 000 000,300 m2,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5599984_uploaded_image1_1761996220.jpg
Terrain,6 000 000,300,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5599983_uploaded_image1_1761996200.jpg
Terrain,125 000 000,200,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5599929_uploaded_image1_1761993965.jpg
Terrain,43 000 000,200 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5599890_uploaded_image1_1761991597.jpg
Terrain,1 950 000,200 m2,"Mboro, Sénégal",https://images.coinafrique.com/thumb_5554983_uploaded_image1_1759419053.jpg
Terrain,60 000 000,609 m2,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5663981_uploaded_image1_1765296493.jpg
Terrain,800 000 000,NAN ,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663846_uploaded_image1_1765291157.5.jpeg
Parcelles,15 000 000,NAN ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5629968_uploaded_image1_1763557884.jpg
Terrains,3 000 000,150,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5653922_uploaded_image1_1764766651.jpg
Terrain,100 000 000,200 m2,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5629837_uploaded_image1_1763553150.jpg
Terrains,800 000,500,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5638244_uploaded_image1_1763984704.jpg
Terrain,80 000 000,NAN ,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663518_uploaded_image1_1765281850.39.jpeg
Terrain,18 000 000,150 m2,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663383_uploaded_image1_1765277302.51.jpeg
Terrain198m²,105 000 000,198,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663082_uploaded_image1_1765263481.jpg
Terrain,1 200 000,897 m2,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5613497_uploaded_image1_1762731750.jpg
Terrain,21 012,968 m2,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5627010_uploaded_image1_1763424109.jpg
Terrain,1 000 000 000,980 m2,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630937_uploaded_image1_1763596975.jpg
Terrain,120 000,897 m2,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5644818_uploaded_image1_1764283939.jpg
Terrains,Prix sur demande,200,"Niaga, Sénégal",https://images.coinafrique.com/thumb_5615161_uploaded_image1_1762809568.jpg
Terrains,Prix sur demande,337,"Thies, Sénégal",https://images.coinafrique.com/thumb_5615135_uploaded_image1_1762808305.jpg
Terrains,1 500 000,2300 m2,"Mboro, Sénégal",https://images.coinafrique.com/thumb_5654697_uploaded_image1_1764799621.jpg
Terrain,1 212 121,954 m2,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5656610_uploaded_image1_1764885810.jpg
Terrain,1 200 000,1500 m2,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616769_uploaded_image1_1762884413.jpg
Terrain,1 700 000,150 m2,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_5615378_uploaded_image1_1762820424.jpg
Terrains,300 000 000,351,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5622063_uploaded_image1_1763138012.jpg
